title,price,href,address,content,owner,specialist
"1-комнатная квартира, 60 м², 2/4 эт. помесячно","
                                                                        175 000 ₸
",/a/show/51368236,"
                            Алмалинский р-н, Шевченко 112 — Байтурсынова
                        ","
                    кирпичный дом, 1985 г.п., состояние: евроремонт, потолки 2.8м., санузел совмещенный, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата
                ",0,1

"3-комнатная квартира, 85 м², 3/7 эт. помесячно","
                                                                        165 000 ₸
",/a/show/51895258,"
                            проспект Сакена Сейфуллина 510 — Кабанбай батыра
                        ","
                    кирпичный дом, 1989 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ
                ",0,1

"2-комнатная квартира, 52 м², 4/5 эт. помесячно","
                                                                        120 000 ₸
",/a/show/50456558,"
                            Ауэзовский р-н, мкр Мамыр-7 6 — Б. Момышулы-Шаляпина
                        ","
                    панельный дом, 1995 г.п., состояние: евроремонт, жил. площадь 31 кв.м., кухня 12 кв.м., полностью меблирована, чистая, на длительный срок, телевизор, вся бытовая техника, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, Квартира уютная в хорошем районе. Развит…
                ",0,1

"2-комнатная квартира, 90 м², 2/12 эт. помесячно","
                                                                        180 000 ₸
",/a/show/29374445,"
                            Ауэзовский р-н, мкр Мамыр-1 21/2 — Шаляина
                        ","
                    жил. комплекс Ак жол - Отау, кирпичный дом, 2015 г.п., состояние: евроремонт, жил. площадь 80 кв.м., кухня 10 кв.м., санузел совмещенный, телефон: отдельный, интернет через TV кабель, полностью меблирована, чистая, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейн…
                ",1,0

"2-комнатная квартира, 45 м², 3/5 эт. помесячно","
                                                                        130 000 ₸
",/a/show/21839103,"
                            Кавкаская 41 — Брусиловского
                        ","
                    панельный дом, 1992 г.п., состояние: евроремонт, жил. площадь 35 кв.м., кухня 6 кв.м., потолки 2.5м., санузел совмещенный, телефон: отдельный, полностью меблирована, чистая, на длительный срок, телевизор, вся бытовая техника, уютная, холодильник, стиральная машина-автомат, кабельное ТВ…
                ",1,0

"2-комнатная квартира, 48 м², 7/9 эт. помесячно","
                                                                        140 000 ₸
",/a/show/19737495,"
                            Алмалинский р-н, Муканова 233 — Кабанбай батыра
                        ","
                    кирпичный дом, 1983 г.п., состояние: евроремонт, санузел раздельный, полностью меблирована
                ",1,0

"1-комнатная квартира, 33 м², 3/4 эт. помесячно","
                                                                        70 000 ₸
",/a/show/52209837,"
                            Ауэзовский р-н, мкр №6 — проспект Абая
                        ","
                    панельный дом, 1967 г.п., жил. площадь 18 кв.м., кухня 6 кв.м., санузел совмещенный, телефон: отдельный, интернет проводной, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, Чистый подъезд, развитая инфраструктура, рядом шк…
                ",0,1

"3-комнатная квартира, 125 м² помесячно","
                                                                        480 000 ₸
",/a/show/50413052,"
                            Бостандыкский р-н, проспект Аль-Фараби 21/4 — Желтоксан
                        ","
                    жил. комплекс AFD Plaza, монолитный дом, 2014 г.п., состояние: евроремонт, санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор, вся бытовая техника
                ",0,1

"3-комнатная квартира, 140 м² помесячно","
                                                                        500 000 ₸
",/a/show/50558143,"
                            Медеуский р-н, проспект Назарбаева 301 — Хаджи Мукана
                        ","
                    жил. комплекс Ренессанс, монолитный дом, 2008 г.п., состояние: евроремонт, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор, вся бытова…
                ",0,1

"2-комнатная квартира, 80 м², 8/29 эт. помесячно","
                                                                        350 000 ₸
",/a/show/24218679,"
                            Бостандыкский р-н, Аль-Фараби 7 — Козыбаева
                        ","
                    жил. комплекс Нурлы Тау, монолитный дом, 2011 г.п., состояние: евроремонт, потолки 3м., телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор, вся бытовая техника
                ",0,1

"3-комнатная квартира, 125 м², 11/21 эт. помесячно","
                                                                        480 000 ₸
",/a/show/49498394,"
                            Бостандыкский р-н, Аль-Фараби 21/2 — Желтоксан
                        ","
                    жил. комплекс AFD Plaza, монолитный дом, 2014 г.п., состояние: евроремонт, санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор, вся бытовая техника
                ",0,1

"3-комнатная квартира, 140 м², 4/7 эт. помесячно","
                                                                        400 000 ₸
",/a/show/52026361,"
                            Бостандыкский р-н, мкр Мирас
                        ","
                    жил. комплекс Солнечная Долина, кирпичный дом, 2011 г.п., состояние: евроремонт, жил. площадь 124 кв.м., кухня 16 кв.м., потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата…
                ",1,0

"3-комнатная квартира, 115 м², 6/6 эт. помесячно","
                                                                        150 000 ₸
",/a/show/27849135,"
                            Жетысуский р-н, мкр Кокжиек 46 — Кокжиек
                        ","
                    кирпичный дом, 2010 г.п., состояние: евроремонт, жил. площадь 80 кв.м., кухня 13 кв.м., потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет проводной, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, на длительный…
                ",0,1

"1-комнатная квартира, 45 м², 9/12 эт. помесячно","
                                                                        140 000 ₸
",/a/show/52176994,"
                            Бостандыкский р-н, Егизбаева — Сатпаева
                        ","
                    жил. комплекс Асыл Тау, монолитный дом, 2018 г.п., Сдам на длительный срок. Плюс к/у
                ",1,0

"2-комнатная квартира, 50 м², 7/9 эт. помесячно","
                                                                        140 000 ₸
",/a/show/52164438,"
                            Медеуский р-н, Проспект Жибек Жолы 59 — Валиханова
                        ","
                    кирпичный дом, 1978 г.п., состояние: хорошее, санузел совмещенный, телефон: отдельный, интернет ADSL, полностью меблирована, чистая, на длительный срок, телевизор, вся бытовая техника, уютная, холодильник, стиральная машина-автомат, + квартплата, семейным, Сдается квартира в хорошем состо…
                ",1,0

"1-комнатная квартира, 40 м², 4/5 эт. помесячно","
                                                                        70 000 ₸
",/a/show/15235424,"
                            Ауэзовский р-н, мкр Мамыр-2
                        ","
                    панельный дом, 1991 г.п., жил. площадь 18 кв.м., кухня 9 кв.м., потолки 2.8м., санузел раздельный, телефон: отдельный, интернет проводной, полностью меблирована, чистая, холодильник, стиральная машина-автомат, + квартплата, семейным, на длительный срок, телевизор, Шаляпина-Сайна, 4(5), улучш, са…
                ",0,1

"2-комнатная квартира, 50 м², 3/3 эт. помесячно","
                                                                        230 000 ₸
",/a/show/29700978,"
                            Алмалинский р-н, Кабынбай батыра 89 — Желтоксана
                        ","
                    кирпичный дом, 1939 г.п., состояние: евроремонт, потолки 3м., интернет проводной, полностью меблирована, Обязательный взнос страхового депозита, в размере месячной аренды. В доме французская выпечка, салон красоты, прачечная, через дорогу круглосуточный гастроном Столичный. После ремонта, нов…
                ",1,0

"1-комнатная квартира, 33 м², 4/5 эт. помесячно","
                                                                        100 000 ₸
",/a/show/52215579,"
                            Алмалинский р-н, улица Жарокова 97 — Абая
                        ","
                    панельный дом, 1989 г.п., состояние: хорошее, жил. площадь 19 кв.м., кухня 9 кв.м., потолки 3м., санузел совмещенный, телефон: нет, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, семейным, на длительный срок, телевизор, вся бытовая те…
                ",1,0

"2-комнатная квартира, 57 м², 7/13 эт. помесячно","
                                                                        150 000 ₸
",/a/show/30898633,"
                            Ауэзовский р-н, мкр Сайран, Утеген батыра 17Б — Кабдолова
                        ","
                    жил. комплекс UTEGEN, монолитный дом, 2018 г.п., состояние: хорошее, жил. площадь 30 кв.м., кухня 10 кв.м., потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, полностью меблирована, семейным, чистая, на длительный срок, уютная, холодильник, телевизор, + ква…
                ",1,0

"1-комнатная квартира, 40 м², 3/5 эт. помесячно","
                                                                        79 999 ₸
",/a/show/52193239,"
                            Алмалинский р-н, Жамбыла 186 — Ауэзова
                        ","
                    панельный дом, 1988 г.п., состояние: хорошее, жил. площадь 18 кв.м., кухня 8 кв.м., санузел совмещенный, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор
                ",0,1

"3-комнатная квартира, 130 м², 9/12 эт. помесячно","
                                                                        180 000 ₸
",/a/show/52156981,"
                            Ауэзовский р-н, мкр Жетысу-3, Абая 55 — Саина
                        ","
                    жил. комплекс Бейбарыс Билдинг, монолитный дом, 2005 г.п., состояние: евроремонт, чистая, уютная, семейным, на длительный срок, Фото реальные. Светлая, просторная квартира для дружной семьи в районе с отличной инфраструктурой. Школы, д/сады, Магнум, ТРЦ Спутник, аптеки, медцентры, банки, сало…
                ",0,1

"2-комнатная квартира, 45 м², 4/4 эт. помесячно","
                                                                        170 000 ₸
",/a/show/52109311,"
                            Алмалинский р-н, Манаса — Шевченко
                        ","
                    панельный дом, 1972 г.п., состояние: евроремонт, потолки 2.7м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, чистая, холодильник, стиральная машина-автомат, кабельное ТВ, оплата поквартально, + квартплата, на длительный срок, телевизор, вся бытовая техника…
                ",1,0

"3-комнатная квартира, 75 м², 5/5 эт. помесячно","
                                                                        300 000 ₸
",/a/show/20022312,"
                            Медеуский р-н, Достык (Ленина) 117в
                        ","
                    кирпичный дом, 1995 г.п., состояние: евроремонт, жил. площадь 75 кв.м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, телевизор, вся бытовая техника, Самый элитный район Алматы. Рядом Кок-Тюбе, кафе 'У Афанас…
                ",0,1

"2-комнатная квартира, 28 м², 1/2 эт. помесячно","
                                                                        55 000 ₸
",/a/show/48881845,"
                            Алатауский р-н, Казмис 1
                        ","
                    кирпичный дом, 2018 г.п., состояние: евроремонт, жил. площадь 28 кв.м., кухня 9 кв.м., санузел совмещенный, телефон: нет, полностью меблирована, Сдаётся 2-хкомн квартира в общежитии квартирного типа (в двухэтажном доме изолированные 8 квартир) со всеми удобствами. Кухня-студия, тёплый пол, вся…
                ",1,0

"3-комнатная квартира, 100 м², 2/9 эт. помесячно","
                                                                        220 000 ₸
",/a/show/50960789,"
                            Маметовой 36 — Панфилова
                        ","
                    кирпичный дом, 1970 г.п., состояние: евроремонт, санузел раздельный, телефон: отдельный, интернет ADSL, полностью меблирована, чистая, семейным, телевизор, Чистая, уютная квартира в тихом, зелёном районе Алматы. Рядом находятся: * Сквер ТЮЗа * Арбат/ул. Панфилова (5 мин пешком) * Школа Сдаёт…
                ",1,0

"3-комнатная квартира, 60 м², 1/4 эт. помесячно","
                                                                        170 000 ₸
",/a/show/52007690,"
                            Алмалинский р-н, Шафика Чокина 118 — Казыбек Би
                        ","
                    1977 г.п., состояние: среднее, жил. площадь 42 кв.м., кухня 6 кв.м., санузел раздельный, пустая, + квартплата, на длительный срок, удобно под офис, Удобный центр, освободиться с 1 сентября, удобно под жилье и офис, пустая без мебели, с депозитом
                ",1,0

"4-комнатная квартира, 220 м², 5/9 эт. помесячно","
                                                                        850 000 ₸
",/a/show/50825221,"
                            Медеуский р-н, мкр Самал-2 63 — Снегина
                        ","
                    жил. комплекс Триумф 2, 2001 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, на длительный срок, телевизор, вся бытовая техник…
                ",1,0

"5-комнатная квартира, 200 м², 20 эт. помесячно","
                                                                        700 000 ₸
",/a/show/52210484,"
                            Алмалинский р-н, проспект Абылай Хана 92
                        ","
                    жил. комплекс Столичный Центр, монолитный дом, 2014 г.п., состояние: евроремонт, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, оплата поквартально, + квартплата, семейным, на длит…
                ",0,1

"8-комнатная квартира, 424.1 м² помесячно","
                                                                        1 900 000 ₸
",/a/show/52164861,"
                            Алмалинский р-н, Кабанбай батыра — Абылай Хана (Коммунистическая)
                        ","
                    жил. комплекс Столичный Центр, 2004 г.п., состояние: евроремонт, потолки 3м., Агентство недвижимости «Imperial Real Estate» предлагает Вашему вниманию информацию о сдаваемом в аренду роскошном двухуровневом пентхаусе в элитном жилом комплексе «Столичный Центр», который расположен в Самом центре гор…
                ",0,1

"3-комнатная квартира, 57 м², 1/4 эт. помесячно","
                                                                        120 000 ₸
",/a/show/52097701,"
                            Бостандыкский р-н, мкр Коктем-1 22
                        ","
                    панельный дом, 1971 г.п., состояние: хорошее, жил. площадь 41 кв.м., кухня 6 кв.м., санузел раздельный, телефон: отдельный, полностью меблирована, холодильник, стиральная машина-автомат, + квартплата, на длительный срок, телевизор
                ",0,1

"4-комнатная квартира, 170 м², 5/11 эт. помесячно","
                                                                        800 000 ₸
",/a/show/51138704,"
                            Медеуский р-н, Мендикулова 105 — Жолдасбекова
                        ","
                    жил. комплекс Фантазия, монолитный дом, 2005 г.п., состояние: евроремонт, санузел 2 с/у и более, телефон: отдельный, интернет ADSL, частично меблирована, + квартплата, на длительный срок, вся бытовая техника, Квартира класса Люкс, после ремонта, все новое. Для ценителей стиля и возможности прожива…
                ",1,0

"2-комнатная квартира, 55 м², 2/9 эт. помесячно","
                                                                        120 000 ₸
",/a/show/51995977,"
                            Алмалинский р-н, Кожамкулова 161 — Казыбек би
                        ","
                    монолитный дом, 1990 г.п., состояние: хорошее, санузел раздельный, интернет ADSL, полностью меблирована
                ",0,1

"3-комнатная квартира, 85 м², 1/5 эт. помесячно","
                                                                        160 000 ₸
",/a/show/52166398,"
                            Алмалинский р-н, Карасай Батыра 134 — Байзакова
                        ","
                    кирпичный дом, 1985 г.п., состояние: хорошее, жил. площадь 65 кв.м., санузел раздельный, телефон: отдельный, интернет ADSL, полностью меблирована, чистая, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, на длительный срок, телевизор, вся бытовая техника, бесплатный Wi-…
                ",0,1

"3-комнатная квартира, 70 м², 2/5 эт. помесячно","
                                                                        250 000 ₸
",/a/show/52206180,"
                            Медеуский р-н, мкр Самал-2 42
                        ","
                    кирпичный дом, 1990 г.п., состояние: евроремонт, потолки 2.7м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, телевизор, вся бытовая техника, Сдам в аренду квартиру в тихом м…
                ",0,1

"3-комнатная квартира, 95 м², 4/12 эт. помесячно","
                                                                        300 000 ₸
",/a/show/52203269,"
                            Медеуский р-н, Микрорайон Самал-2 76 — Бектурова
                        ","
                    монолитный дом, 2000 г.п., состояние: хорошее, потолки 2.8м., санузел раздельный, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, на длительный срок, телевизор, вся бытовая техника, Сдается трехкомнатная квартира в микрорайоне Самал 2, в…
                ",0,1

"2-комнатная квартира, 64 м² помесячно","
                                                                        80 000 ₸
",/a/show/52174523,"
                            Наурызбайский р-н, мкр Шугыла 341/2к1
                        ","
                    монолитный дом, 2018 г.п., состояние: хорошее, санузел раздельный, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, на длительный срок
                ",0,1

"3-комнатная квартира, 70 м², 2/2 эт. помесячно","
                                                                        160 000 ₸
",/a/show/52198019,"
                            Медеуский р-н, Панфилова 203 — Аль-фараби
                        ","
                    кирпичный дом, 1970 г.п., состояние: хорошее, потолки 3м., санузел раздельный, интернет проводной, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, + квартплата, семейным, на длительный срок, телевизор, вся бытовая техника, Просторная, светлая и очень тёплая в само…
                ",0,1

"3-комнатная квартира, 70 м², 6/9 эт. помесячно","
                                                                        130 000 ₸
",/a/show/30020505,"
                            Ауэзовский р-н, мкр Мамыр-1, Шаляпина — Момышулы
                        ","
                    кирпичный дом, 1997 г.п., состояние: среднее, жил. площадь 45 кв.м., кухня 12 кв.м., потолки 2.85м., санузел раздельный, телефон: отдельный, интернет проводной, полностью меблирована, чистая, на длительный срок, телевизор, вся бытовая техника, уютная, холодильник, стиральная машина-автомат, кабел…
                ",0,1

"3-комнатная квартира, 150 м², 11/15 эт. помесячно","
                                                                        500 000 ₸
",/a/show/52106305,"
                            Медеуский р-н, проспект Достык 162
                        ","
                    жил. комплекс Алматы Тауэрс, монолитный дом, 2005 г.п., состояние: евроремонт, потолки 3м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, оплата поквартально, + квартплата, семейным, н…
                ",0,1

"3-комнатная квартира, 120 м² помесячно","
                                                                        450 000 ₸
",/a/show/52092798,"
                            Медеуский р-н, Микрорайон Самал-2 33а — Снегина
                        ","
                    жил. комплекс Samal Tower, монолитный дом, 2017 г.п., состояние: евроремонт, потолки 3м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, + квартплата, семейным, на длительный срок, телевизор, вс…
                ",0,1

"3-комнатная квартира, 150 м², 6 эт. помесячно","
                                                                        600 000 ₸
",/a/show/52142102,"
                            Алмалинский р-н, проспект Абылай Хана 92
                        ","
                    жил. комплекс Столичный Центр, монолитный дом, 2012 г.п., состояние: евроремонт, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, оплата поквартально, + квартплата, семейным, на длит…
                ",0,1

"3-комнатная квартира, 120 м², 6/9 эт. помесячно","
                                                                        320 000 ₸
",/a/show/30836721,"
                            Бостандыкский р-н, Аскарова Асанбая 21/7 — проспект Аль-Фараби
                        ","
                    жил. комплекс Аль-Фараби, монолитный дом, 2015 г.п., состояние: евроремонт, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, + квартплата, Чистая и уютная квартира. В престижном жилом комплексе. Элитное соседство. Сдается порядочным, аккуратным…
                ",0,1

"2-комнатная квартира, 70 м², 13 эт. помесячно","
                                                                        270 000 ₸
",/a/show/52040775,"
                            Бостандыкский р-н, Навои 208/8
                        ","
                    жил. комплекс Шахристан, монолитный дом, 2015 г.п., состояние: евроремонт, санузел совмещенный, телефон: отдельный, интернет ADSL, полностью меблирована, чистая, уютная, холодильник, стиральная машина-автомат, кабельное ТВ, на длительный срок, телевизор, вся бытовая техника, Квартира здаетс…
                ",0,1

"1-комнатная квартира, 15 м², 2/2 эт. помесячно","
                                                                        45 000 ₸
",/a/show/30693355,"
                            Наурызбайский р-н, мкр Таусамалы, Мереке 31
                        ","
                    2019 г.п., состояние: хорошее, санузел совмещенный, телефон: нет, интернет ADSL, полностью меблирована, чистая, на длительный срок, вся бытовая техника, уютная, холодильник, стиральная машина-автомат, + квартплата, Сдаются, небольшие мебелированные, уютные, со всеми удобствами квартирки. Арен…
                ",1,0

"4-комнатная квартира, 180 м² помесячно","
                                                                        400 000 ₸
",/a/show/27977996,"
                            Медеуский р-н, Хаджи Мукана 39 — Мендикулова
                        ","
                    жил. комплекс Аскарбек, монолитный дом, 2007 г.п., состояние: евроремонт, санузел раздельный, телефон: отдельный, интернет оптика, полностью меблирована, + квартплата, на длительный срок, вся бытовая техника
                ",0,1

"2-комнатная квартира, 58 м², 2/9 эт. помесячно","
                                                                        120 000 ₸
",/a/show/52020679,"
                            Алмалинский р-н, Кожамкулова 161 — Казбек би
                        ","
                    монолитный дом, 1992 г.п., состояние: хорошее, потолки 2.8м., санузел раздельный, полностью меблирована
                ",0,1

"3-комнатная квартира, 100 м², 8/16 эт. помесячно","
                                                                        220 000 ₸
",/a/show/51962213,"
                            Медеуский р-н, Байсеитовой 42 — Сатпаева/Назарбаева
                        ","
                    монолитный дом, 1998 г.п., состояние: хорошее, санузел раздельный, телефон: отдельный, интернет проводной, полностью меблирована, чистая, холодильник, стиральная машина-автомат, вся бытовая техника, Фото реальное 100% Не далеко Метро. Шикарное месторасположение Сатпаева/Назарбаева
                ",0,1
